;approval;gender;usia; pinjaman;tenor;pemasukan;tanggungan;pekerjaan
4530;Y;M;36;1200000;20;5000000;3;Pekerja Lepas
4531;Y;F;31;2500000;4;3000000;3;Pekerja Lepas
4532;N;M;57;1400000;8;1500000;5;Pedagang
4533;Y;M;51;1200000;16;2300000;4;Wirausaha
4534;N;F;51;1000000;12;2000000;0;Pedagang
4535;N;F;58;500000;16;1200000;0;Pedagang
4536;Y;M;43;2000000;4;5000000;4;Pekerja Lepas
4537;N;M;54;500000;16;3000000;3;Guru/Dosen
4538;Y;M;82;1200000;12;4800000;5;Wirausaha
4539;Y;M;37;1900000;5;4000000;1;Pedagang
4540;Y;M;26;3000000;16;3000000;3;Wirausaha
4541;Y;M;75;2500000;4;3000000;4;Pedagang
4542;Y;F;90;1900000;5;3500000;4;Pedagang
4543;N;F;32;700000;10;1500000;3;Pekerja Lepas
4544;N;F;55;1600000;10;3500000;5;Guru/Dosen
4545;Y;M;22;2500000;5;4800000;4;Pedagang
4546;Y;M;78;3000000;4;4000000;3;Pedagang
4547;Y;M;26;1500000;8;3000000;5;Pedagang
4548;Y;M;28;2000000;10;4800000;5;Pekerja Lepas
4549;N;F;52;1200000;8;1800000;2;Guru/Dosen
4550;N;M;61;1200000;10;3000000;4;Guru/Dosen
4551;Y;M;52;1000000;6;4500000;0;Guru/Dosen
4552;Y;M;56;1200000;20;4600000;4;Pekerja Lepas
4553;N;M;83;1200000;12;1200000;0;Buruh
4554;Y;M;59;1500000;4;4600000;0;Guru/Dosen
4555;N;M;29;1800000;6;2300000;3;Guru/Dosen
4556;N;M;65;1900000;5;5000000;3;Buruh
4557;N;M;82;1500000;4;5000000;0;Buruh
4558;Y;M;20;1900000;10;5000000;0;Pedagang
4559;Y;M;34;2500000;10;3000000;2;Pedagang
4560;Y;M;25;2000000;6;2300000;5;Pedagang
4561;N;M;81;1000000;5;4400000;4;Guru/Dosen
4562;Y;F;64;500000;20;4400000;3;Wirausaha
4563;Y;M;94;2000000;12;2500000;0;Pekerja Lepas
4564;N;M;35;1800000;16;1800000;1;Guru/Dosen
4565;N;M;99;1900000;8;4600000;5;Buruh
4566;N;M;57;1500000;4;4600000;2;Guru/Dosen
4567;N;F;88;1200000;10;1200000;4;Wirausaha
4568;N;F;83;1200000;8;3000000;3;Buruh
4569;Y;M;43;1800000;8;3000000;3;Pedagang
4570;N;M;38;1200000;3;1800000;3;Pedagang
4571;Y;M;54;3000000;10;3500000;2;Wirausaha
4572;Y;M;21;3000000;20;4800000;0;Guru/Dosen
4573;Y;F;29;500000;3;3500000;4;Wirausaha
4574;Y;M;58;1800000;4;4500000;1;Pekerja Lepas
4575;Y;M;49;500000;5;4800000;5;Wirausaha
4576;Y;F;68;500000;4;4800000;5;Pedagang
4577;N;M;82;2000000;20;1500000;4;Pekerja Lepas
4578;N;M;26;500000;12;3500000;2;Guru/Dosen
4579;N;M;78;1200000;6;1500000;4;Guru/Dosen
4580;Y;F;66;2000000;12;4800000;5;Pekerja Lepas
4581;Y;M;97;500000;16;2500000;0;Wirausaha
4582;N;M;59;1200000;3;5000000;2;Buruh
4583;N;M;26;500000;4;1200000;2;Pedagang
4584;Y;M;63;1000000;6;5000000;3;Wirausaha
4585;Y;M;82;1200000;20;3000000;2;Pedagang
4586;Y;F;55;500000;8;4800000;2;Wirausaha
4587;N;M;37;700000;16;2000000;1;Pedagang
4588;Y;M;27;500000;4;5000000;2;Wirausaha
4589;N;M;95;2000000;10;4500000;5;Buruh
4590;Y;M;94;1200000;20;2300000;3;Wirausaha
4591;Y;M;84;1200000;10;4000000;0;Pedagang
4592;Y;M;66;2000000;10;4600000;5;Pedagang
4593;N;M;57;2500000;3;1200000;0;Pedagang
4594;Y;M;23;1000000;10;3500000;5;Pekerja Lepas
4595;N;M;67;1900000;5;1800000;5;Wirausaha
4596;Y;M;21;1200000;16;4600000;5;Pekerja Lepas
4597;N;M;45;1200000;10;1200000;2;Buruh
4598;Y;F;33;1500000;3;4800000;4;Pedagang
4599;Y;F;40;1000000;12;4600000;2;Pedagang
4600;Y;M;27;2000000;4;5000000;3;Pedagang
4601;N;M;93;1400000;4;1200000;5;Buruh
4602;N;M;80;1200000;3;4000000;0;Guru/Dosen
4603;N;M;82;500000;4;1200000;5;Pedagang
4604;Y;F;87;1000000;4;3000000;3;Pedagang
4605;Y;F;29;1800000;5;4400000;1;Guru/Dosen
4606;Y;F;54;2500000;20;4600000;5;Pekerja Lepas
4607;N;F;74;1200000;20;4000000;5;Guru/Dosen
4608;Y;M;23;2000000;6;4500000;1;Pedagang
4609;Y;M;79;1000000;6;4000000;2;Pedagang
4610;Y;M;56;1400000;10;4400000;2;Pedagang
4611;Y;M;47;1500000;3;5000000;3;Pedagang
4612;N;M;70;1800000;5;2000000;5;Pedagang
4613;Y;M;59;700000;8;4800000;2;Pekerja Lepas
4614;Y;M;61;1800000;12;4400000;3;Wirausaha
4615;N;M;51;2000000;8;2000000;4;Pekerja Lepas
4616;Y;F;71;1400000;10;4800000;0;Pekerja Lepas
4617;N;M;65;1500000;10;5000000;1;Guru/Dosen
4618;N;F;69;1000000;20;2000000;1;Guru/Dosen
4619;Y;M;34;3000000;20;4400000;5;Pedagang
4620;Y;M;53;2500000;12;2500000;4;Pekerja Lepas
4621;N;M;75;700000;10;2000000;0;Pedagang
4622;Y;M;71;700000;3;4500000;3;Pedagang
4623;Y;M;33;2500000;4;4500000;0;Wirausaha
4624;Y;F;50;700000;16;2500000;0;Pekerja Lepas
4625;Y;M;78;2500000;12;5000000;1;Pedagang
4626;Y;M;64;1000000;12;4000000;4;Pekerja Lepas
4627;Y;F;25;1400000;6;4500000;0;Guru/Dosen
4628;N;F;83;1200000;20;1500000;0;Pedagang
4629;Y;M;87;1400000;10;2300000;3;Pedagang
4630;N;M;38;1400000;6;2000000;3;Wirausaha
4631;N;M;75;1200000;12;4800000;5;Guru/Dosen
4632;Y;F;24;700000;10;4000000;0;Wirausaha
4633;N;F;69;1800000;6;3500000;3;Buruh
4634;Y;M;23;1200000;3;4800000;1;Guru/Dosen
4635;N;F;54;2500000;10;1500000;2;Pedagang
4636;Y;F;86;2000000;8;4800000;0;Pekerja Lepas
4637;Y;M;28;1000000;6;4600000;3;Wirausaha
4638;N;M;61;2500000;10;1800000;3;Pedagang
4639;N;F;50;1600000;6;4400000;5;Guru/Dosen
4640;Y;M;63;1500000;20;5000000;4;Pedagang
4641;N;F;30;1200000;4;5000000;4;Guru/Dosen
4642;N;M;60;1200000;10;1200000;3;Pedagang
4643;Y;F;59;700000;4;4400000;2;Wirausaha
4644;N;M;95;1200000;6;1200000;2;Buruh
4645;Y;M;69;3000000;10;4500000;0;Wirausaha
4646;Y;F;35;1400000;10;3500000;0;Buruh
4647;N;M;37;1900000;20;2000000;2;Buruh
4648;N;F;63;1900000;4;4000000;4;Guru/Dosen
4649;Y;M;98;1600000;5;3500000;0;Wirausaha
4650;Y;M;70;1200000;16;4000000;1;Pedagang
4651;Y;M;99;1500000;4;5000000;2;Pedagang
4652;N;M;97;1400000;4;5000000;3;Buruh
4653;Y;M;71;1000000;6;4400000;4;Wirausaha
4654;N;M;46;1200000;6;1200000;4;Guru/Dosen
4655;Y;M;61;1500000;20;4400000;1;Pekerja Lepas
4656;N;F;87;3000000;6;4800000;5;Guru/Dosen
4657;Y;F;44;1900000;12;4800000;2;Buruh
4658;Y;F;64;1900000;4;4800000;3;Pekerja Lepas
4659;N;F;76;1000000;16;1800000;2;Pedagang
4660;Y;M;92;1800000;6;4600000;0;Pedagang
4661;N;F;20;1800000;5;4000000;2;Buruh
4662;N;M;81;1000000;4;4500000;3;Guru/Dosen
4663;N;M;54;2500000;10;2000000;3;Pekerja Lepas
4664;Y;M;72;700000;12;2300000;5;Pedagang
4665;N;M;20;500000;10;2000000;5;Buruh
4666;Y;F;75;1600000;10;4400000;3;Pedagang
4667;Y;M;95;1200000;4;3000000;2;Pedagang
4668;Y;M;25;500000;10;3000000;3;Pekerja Lepas
4669;N;M;87;1900000;4;1800000;0;Guru/Dosen
4670;N;M;37;3000000;10;2000000;2;Pedagang
4671;N;M;49;1200000;10;3500000;2;Buruh
4672;N;M;20;1200000;20;3000000;3;Buruh
4673;N;M;47;1900000;8;3500000;4;Buruh
4674;Y;F;21;1600000;4;5000000;5;Pedagang
4675;Y;F;98;1200000;10;4000000;0;Wirausaha
4676;N;M;94;1400000;3;4800000;5;Buruh
4677;Y;M;49;1800000;5;4800000;1;Pedagang
4678;Y;M;97;1500000;6;2300000;2;Pekerja Lepas
4679;Y;M;20;1900000;8;4000000;4;Wirausaha
4680;Y;M;92;1200000;8;3500000;2;Pedagang
4681;Y;M;58;500000;12;3000000;1;Wirausaha
4682;Y;M;64;1800000;8;4800000;1;Pedagang
4683;N;F;20;1500000;4;4400000;2;Guru/Dosen
4684;Y;M;56;1200000;3;5000000;3;Pekerja Lepas
4685;Y;F;43;2500000;12;3500000;0;Pedagang
4686;Y;M;40;1200000;3;2500000;3;Pedagang
4687;N;M;97;1200000;16;1200000;4;Pedagang
4688;Y;M;27;1500000;10;4500000;0;Guru/Dosen
4689;N;M;65;1200000;16;1800000;0;Pedagang
4690;Y;M;20;700000;6;4600000;0;Guru/Dosen
4691;N;M;74;500000;4;1500000;2;Pedagang
4692;Y;M;26;1900000;20;5000000;4;Pedagang
4693;Y;F;70;1400000;10;5000000;2;Pekerja Lepas
4694;Y;M;27;700000;10;3500000;0;Wirausaha
4695;N;F;92;2500000;4;1200000;0;Wirausaha
4696;N;F;62;1500000;10;4400000;4;Buruh
4697;Y;M;65;700000;3;4600000;0;Wirausaha
4698;N;F;33;1800000;10;4600000;5;Guru/Dosen
4699;Y;M;20;500000;3;3000000;3;Wirausaha
4700;Y;M;86;1600000;20;4800000;4;Pedagang
4701;Y;M;29;1200000;4;4600000;2;Wirausaha
4702;Y;M;97;700000;16;4500000;1;Pedagang
4703;Y;M;58;1900000;4;5000000;3;Pekerja Lepas
4704;Y;M;77;3000000;12;4000000;5;Pekerja Lepas
4705;N;M;48;500000;4;1800000;2;Pedagang
4706;Y;M;58;500000;5;3500000;3;Pedagang
4707;Y;F;42;1200000;5;2300000;0;Pedagang
4708;Y;M;68;1000000;6;2300000;3;Pekerja Lepas
4709;Y;F;47;1400000;8;4600000;4;Pedagang
4710;N;M;34;700000;10;1200000;1;Wirausaha
4711;N;F;43;1200000;12;2000000;5;Pedagang
4712;Y;M;96;500000;12;2500000;0;Pekerja Lepas
4713;Y;M;97;700000;4;2500000;4;Wirausaha
4714;N;M;44;1200000;10;4500000;3;Guru/Dosen
4715;Y;M;96;1800000;20;4600000;3;Pekerja Lepas
4716;N;M;51;1900000;8;2300000;0;Guru/Dosen
4717;N;M;35;3000000;6;2000000;1;Wirausaha
4718;N;M;33;1200000;4;5000000;5;Guru/Dosen
4719;Y;F;57;3000000;4;3500000;0;Wirausaha
4720;Y;M;39;500000;8;2300000;0;Wirausaha
4721;N;F;99;1500000;6;1500000;0;Pedagang
4722;Y;F;88;2000000;5;2500000;1;Pedagang
4723;N;M;58;1900000;20;1800000;0;Pekerja Lepas
4724;Y;M;63;1400000;6;4000000;3;Pedagang
4725;Y;M;91;2000000;8;4800000;1;Pedagang
4726;N;M;23;2000000;10;1500000;4;Wirausaha
4727;Y;M;32;500000;12;4500000;0;Buruh
4728;N;M;51;1500000;12;1200000;2;Guru/Dosen
4729;N;F;70;3000000;6;2500000;2;Buruh
4730;N;M;54;1600000;5;1500000;5;Pedagang
4731;Y;M;39;1200000;3;5000000;3;Pekerja Lepas
4732;N;F;81;500000;6;2000000;4;Pekerja Lepas
4733;Y;M;36;1200000;4;4800000;2;Pedagang
4734;Y;M;51;1900000;6;5000000;0;Pedagang
4735;N;M;92;1200000;10;4800000;5;Buruh
4736;Y;M;70;3000000;4;4800000;1;Pedagang
4737;N;M;52;1200000;16;2300000;2;Buruh
4738;Y;M;90;2500000;12;4000000;1;Pekerja Lepas
4739;N;M;40;2000000;6;3000000;4;Guru/Dosen
4740;Y;M;26;500000;4;4400000;5;Pekerja Lepas
4741;N;M;85;500000;8;4000000;3;Guru/Dosen
4742;N;F;35;1400000;4;2000000;3;Pedagang
4743;N;M;81;1200000;10;5000000;5;Buruh
4744;N;M;38;500000;3;3500000;1;Guru/Dosen
4745;Y;M;64;1900000;16;2500000;0;Pedagang
4746;N;M;47;1500000;20;2000000;1;Guru/Dosen
4747;Y;F;72;500000;3;4800000;4;Wirausaha
4748;N;M;24;1000000;3;2300000;0;Guru/Dosen
4749;Y;F;58;700000;16;4400000;3;Wirausaha
4750;N;M;54;1200000;8;1800000;2;Guru/Dosen
4751;N;F;97;2500000;4;1200000;3;Pekerja Lepas
4752;Y;F;78;2000000;6;5000000;5;Pedagang
4753;N;F;92;3000000;10;1500000;1;Pedagang
4754;N;M;71;1900000;12;1200000;2;Pekerja Lepas
4755;Y;M;80;2500000;10;4600000;1;Pekerja Lepas
4756;N;F;38;1800000;10;1500000;1;Pedagang
4757;N;F;28;1500000;4;1800000;5;Buruh
4758;Y;F;40;1200000;4;5000000;1;Pedagang
4759;Y;M;46;500000;3;4500000;4;Pedagang
4760;N;M;89;1200000;4;3500000;3;Guru/Dosen
4761;Y;F;76;3000000;20;2300000;4;Pedagang
4762;Y;F;23;2000000;5;4000000;4;Wirausaha
4763;N;M;55;1200000;5;1800000;4;Guru/Dosen
4764;N;M;62;500000;10;3500000;1;Buruh
4765;Y;M;63;2500000;6;3000000;2;Pekerja Lepas
4766;N;M;32;2000000;12;1800000;0;Pedagang
4767;N;F;25;700000;8;2000000;1;Pedagang
4768;N;M;68;700000;4;1500000;2;Pedagang
4769;N;F;50;1800000;8;1500000;2;Pekerja Lepas
4770;N;M;26;1200000;8;2300000;0;Buruh
4771;N;F;40;1200000;20;2000000;0;Pekerja Lepas
4772;Y;M;60;1500000;6;2500000;0;Pedagang
4773;N;M;46;1000000;3;3500000;1;Guru/Dosen
4774;Y;F;67;1500000;5;4800000;2;Pekerja Lepas
4775;N;F;82;2000000;4;1800000;2;Pedagang
4776;Y;F;63;2000000;4;3500000;0;Guru/Dosen
4777;Y;F;67;1200000;16;4500000;2;Wirausaha
4778;N;F;87;1200000;3;2000000;0;Pedagang
4779;Y;M;49;500000;4;4800000;1;Wirausaha
4780;Y;M;75;500000;8;5000000;1;Pedagang
4781;N;F;31;2000000;5;1200000;4;Guru/Dosen
4782;Y;F;40;1500000;16;4600000;5;Pedagang
4783;Y;F;99;1200000;4;4500000;5;Pedagang
4784;N;M;37;2500000;5;5000000;4;Guru/Dosen
4785;Y;M;29;1900000;3;3500000;2;Pekerja Lepas
4786;N;M;55;1000000;3;4000000;4;Guru/Dosen
4787;N;M;78;500000;10;4600000;4;Guru/Dosen
4788;Y;M;79;2000000;12;3500000;5;Wirausaha
4789;N;M;55;1400000;10;1800000;0;Buruh
4790;N;M;75;1400000;5;1500000;1;Buruh
4791;N;M;34;2000000;6;4800000;2;Guru/Dosen
4792;Y;F;80;3000000;5;4000000;0;Wirausaha
4793;N;F;66;1200000;8;2000000;0;Pedagang
4794;Y;F;95;500000;8;4000000;4;Pedagang
4795;Y;M;24;2000000;16;3500000;3;Pekerja Lepas
4796;N;M;24;1200000;4;1200000;4;Wirausaha
4797;Y;F;37;2000000;20;3000000;2;Pedagang
4798;Y;F;36;1200000;6;2500000;3;Wirausaha
4799;N;M;83;1200000;10;1200000;4;Buruh
4800;Y;M;92;700000;16;4600000;5;Wirausaha
4801;Y;M;62;1900000;8;4800000;0;Wirausaha
4802;N;M;25;1200000;4;4400000;2;Buruh
4803;Y;M;76;1600000;16;4000000;2;Wirausaha
4804;Y;M;26;1000000;3;4000000;4;Pekerja Lepas
4805;N;F;25;2500000;12;2300000;4;Guru/Dosen
4806;N;M;55;1400000;16;4800000;3;Buruh
4807;Y;M;63;1200000;5;2500000;0;Wirausaha
4808;Y;M;68;1200000;20;2300000;2;Wirausaha
4809;Y;M;28;1500000;4;4500000;1;Pedagang
4810;N;M;70;3000000;4;4400000;2;Guru/Dosen
4811;Y;M;75;500000;8;4400000;0;Pekerja Lepas
4812;Y;M;70;1600000;5;4800000;1;Pekerja Lepas
4813;Y;M;23;1200000;10;3500000;5;Pedagang
4814;N;M;23;1600000;20;1200000;1;Wirausaha
4815;Y;M;84;1200000;4;4500000;1;Pedagang
4816;Y;M;51;1500000;12;2300000;3;Wirausaha
4817;N;M;68;1200000;10;2500000;4;Guru/Dosen
4818;Y;M;58;2000000;4;4500000;0;Buruh
4819;Y;M;29;1900000;3;4000000;1;Wirausaha
4820;N;M;60;1900000;10;2300000;5;Guru/Dosen
4821;Y;M;86;500000;16;4800000;1;Wirausaha
4822;N;M;95;1000000;5;5000000;1;Guru/Dosen
4823;N;M;23;500000;16;1200000;5;Buruh
4824;N;M;46;1200000;5;2000000;2;Buruh
4825;N;F;85;1400000;8;4000000;3;Buruh
4826;N;M;72;2500000;4;2300000;4;Guru/Dosen
4827;N;M;26;1800000;4;1500000;0;Buruh
4828;Y;M;24;1500000;12;4800000;4;Wirausaha
4829;Y;F;84;1600000;20;2300000;0;Pedagang
4830;Y;M;60;2500000;5;4600000;0;Pedagang
4831;N;F;21;500000;4;1200000;5;Pedagang
4832;Y;M;30;500000;8;4500000;5;Wirausaha
4833;N;F;68;3000000;20;1800000;0;Pedagang
4834;Y;M;97;1400000;20;5000000;2;Pekerja Lepas
4835;N;M;69;1900000;4;2000000;4;Wirausaha
4836;N;F;77;1600000;16;3000000;1;Buruh
4837;Y;F;62;1200000;6;3000000;2;Pedagang
4838;N;F;25;500000;10;2000000;3;Guru/Dosen
4839;N;M;95;1000000;10;1500000;2;Pekerja Lepas
4840;N;M;74;1200000;4;2000000;4;Pedagang
4841;N;M;54;700000;4;1500000;1;Guru/Dosen
4842;Y;F;76;1500000;12;4000000;2;Pedagang
4843;N;M;35;500000;10;4400000;3;Buruh
4844;N;M;74;1200000;12;1500000;1;Pedagang
4845;N;F;81;1900000;3;1500000;1;Pekerja Lepas
4846;N;M;20;700000;4;1500000;0;Wirausaha
4847;Y;F;39;1800000;8;4600000;1;Pedagang
4848;N;M;38;1900000;16;1500000;4;Pedagang
4849;N;M;87;2000000;8;2000000;5;Pekerja Lepas
4850;N;M;84;1800000;10;1800000;2;Pedagang
4851;Y;M;97;1200000;20;4400000;0;Pedagang
4852;Y;M;92;2500000;8;4000000;1;Pedagang
4853;Y;M;50;2000000;10;3000000;4;Pedagang
4854;Y;M;96;1500000;5;4000000;5;Pedagang
4855;N;F;66;500000;4;4600000;5;Buruh
4856;N;M;55;1600000;4;2000000;5;Buruh
4857;Y;F;29;1500000;4;3000000;3;Pedagang
4858;N;F;71;1900000;12;3000000;4;Guru/Dosen
4859;N;F;93;2500000;10;1200000;4;Pedagang
4860;Y;M;38;1200000;6;2500000;1;Pedagang
4861;N;M;25;1200000;4;1200000;4;Pedagang
4862;Y;M;53;1200000;20;2300000;4;Pekerja Lepas
4863;N;M;81;1200000;4;3500000;2;Guru/Dosen
4864;N;M;22;1600000;10;2000000;1;Pedagang
4865;N;M;67;2500000;3;4000000;2;Buruh
4866;N;M;72;500000;16;5000000;5;Guru/Dosen
4867;Y;M;20;3000000;10;4800000;1;Guru/Dosen
4868;Y;M;81;700000;10;2300000;5;Pedagang
4869;N;F;68;500000;16;4600000;0;Guru/Dosen
4870;N;M;69;1800000;12;4400000;2;Buruh
4871;Y;F;74;1900000;4;3500000;1;Pedagang
4872;Y;M;66;2500000;10;4800000;2;Pekerja Lepas
4873;Y;F;38;500000;12;3000000;5;Wirausaha
4874;N;M;62;1900000;6;1800000;1;Buruh
4875;Y;M;53;500000;10;3500000;2;Wirausaha
4876;Y;M;48;500000;16;4600000;3;Pedagang
4877;N;M;93;1000000;5;5000000;1;Buruh
4878;N;F;90;500000;4;4800000;1;Buruh
4879;Y;F;61;1600000;3;4000000;2;Pekerja Lepas
4880;Y;M;41;500000;4;4000000;4;Pedagang
4881;N;F;94;1200000;5;2300000;4;Guru/Dosen
4882;N;F;45;1800000;6;1800000;1;Buruh
4883;N;F;27;2000000;10;3500000;2;Guru/Dosen
4884;Y;F;95;500000;5;4000000;2;Pedagang
4885;N;M;85;1600000;16;2300000;4;Buruh
4886;N;M;89;1400000;4;1800000;2;Pekerja Lepas
4887;Y;F;49;3000000;5;4400000;4;Pedagang
4888;N;M;69;1200000;10;2000000;1;Pedagang
4889;N;F;52;1200000;6;1800000;2;Guru/Dosen
4890;Y;F;76;1200000;8;2300000;5;Pekerja Lepas
4891;Y;M;35;1900000;4;4800000;5;Pekerja Lepas
4892;N;M;82;2000000;4;3500000;5;Buruh
4893;N;M;68;2500000;12;1200000;0;Pekerja Lepas
4894;N;M;85;1200000;5;3000000;2;Guru/Dosen
4895;N;M;99;500000;3;2000000;4;Wirausaha
4896;N;F;62;2000000;20;1200000;5;Wirausaha
4897;Y;F;61;1600000;5;3500000;0;Pedagang
4898;Y;M;44;1900000;3;4800000;2;Pekerja Lepas
4899;N;M;27;1200000;10;4800000;3;Buruh
4900;Y;M;39;1200000;16;3500000;4;Pekerja Lepas
4901;Y;M;44;1200000;10;4000000;0;Guru/Dosen
4902;Y;F;22;2000000;8;4800000;4;Pekerja Lepas
4903;Y;M;77;3000000;16;4600000;1;Pedagang
4904;Y;F;98;1800000;4;4400000;4;Pedagang
4905;Y;F;56;1500000;20;2300000;0;Pedagang
4906;N;M;100;1200000;12;1500000;2;Wirausaha
4907;N;F;60;1900000;12;1800000;5;Wirausaha
4908;Y;F;84;1200000;20;3000000;2;Pekerja Lepas
4909;N;M;51;1400000;10;1500000;1;Pedagang
4910;N;F;68;700000;5;1200000;3;Guru/Dosen
4911;N;F;27;1200000;20;1500000;0;Guru/Dosen
4912;N;F;73;1200000;10;1200000;0;Pedagang
4913;N;F;91;2500000;3;3000000;2;Buruh
4914;N;M;96;700000;6;1200000;5;Pekerja Lepas
4915;Y;F;47;2500000;12;4600000;5;Pedagang
4916;N;M;87;700000;3;1800000;2;Pekerja Lepas
4917;Y;M;75;1600000;16;4000000;2;Pedagang
4918;Y;M;88;1400000;16;4600000;4;Wirausaha
4919;N;M;57;1200000;3;1500000;4;Wirausaha
4920;Y;M;67;2000000;16;5000000;0;Wirausaha
4921;Y;F;87;3000000;4;4000000;4;Pedagang
4922;Y;M;56;1500000;4;4000000;3;Pekerja Lepas
4923;Y;F;45;2500000;10;4800000;0;Guru/Dosen
4924;N;M;97;1600000;10;5000000;4;Guru/Dosen
4925;N;M;70;1400000;5;4000000;5;Buruh
4926;Y;M;25;1400000;12;5000000;1;Pedagang
4927;N;M;26;1500000;10;4000000;1;Buruh
4928;N;M;99;1800000;4;5000000;1;Buruh
4929;Y;M;21;1500000;4;3000000;5;Pekerja Lepas
4930;Y;M;27;1400000;8;4000000;2;Pekerja Lepas
4931;Y;F;81;3000000;12;3000000;0;Pedagang
4932;Y;M;71;1000000;12;4600000;5;Pekerja Lepas
4933;N;M;89;700000;12;1500000;0;Buruh
4934;N;M;25;3000000;4;2000000;5;Guru/Dosen
4935;N;M;42;700000;4;4800000;2;Buruh
4936;N;F;96;1900000;10;2500000;1;Buruh
4937;Y;M;59;500000;3;4000000;0;Pedagang
4938;Y;M;31;3000000;20;4600000;0;Pedagang
4939;Y;M;68;1500000;8;3000000;2;Wirausaha
4940;N;M;76;1600000;8;4800000;2;Buruh
4941;N;F;85;1200000;4;1800000;1;Pedagang
4942;Y;F;49;1600000;5;4600000;0;Wirausaha
4943;Y;M;42;3000000;12;3500000;5;Pedagang
4944;Y;M;31;1400000;5;2500000;1;Pedagang
4945;N;M;27;1600000;3;1500000;3;Wirausaha
4946;N;M;47;1900000;4;5000000;4;Buruh
4947;Y;M;28;1800000;10;2300000;0;Pedagang
4948;Y;M;62;1200000;6;4500000;3;Pedagang
4949;N;M;63;1500000;20;1500000;0;Buruh
4950;N;M;32;1200000;6;4500000;4;Guru/Dosen
4951;Y;F;30;2500000;8;4600000;1;Pedagang
4952;N;M;76;1900000;20;5000000;4;Buruh
4953;N;F;34;1200000;3;1200000;5;Pedagang
4954;Y;M;71;500000;10;2500000;4;Wirausaha
4955;N;F;60;1800000;10;3500000;3;Guru/Dosen
4956;Y;M;71;1800000;10;4400000;3;Pedagang
4957;Y;F;23;2000000;20;4800000;0;Guru/Dosen
4958;Y;M;78;1800000;12;4400000;0;Pedagang
4959;N;M;68;700000;20;2000000;4;Buruh
4960;N;M;91;1000000;10;2000000;2;Wirausaha
4961;N;M;31;1400000;4;2000000;1;Pedagang
4962;N;M;46;700000;3;1200000;1;Wirausaha
4963;N;M;94;1800000;3;2300000;5;Guru/Dosen
4964;Y;M;34;1200000;4;5000000;3;Wirausaha
4965;N;M;52;2000000;10;4500000;1;Guru/Dosen
4966;Y;M;88;1000000;6;4800000;2;Pekerja Lepas
4967;Y;M;64;1800000;4;4000000;3;Wirausaha
4968;Y;M;31;1000000;8;2300000;5;Pekerja Lepas
4969;N;F;81;1800000;20;4400000;2;Buruh
4970;N;M;47;500000;4;2000000;2;Buruh
4971;N;M;47;1500000;10;2000000;0;Wirausaha
4972;Y;M;36;500000;3;4000000;5;Pekerja Lepas
4973;N;F;71;1900000;4;1500000;0;Pekerja Lepas
4974;Y;M;51;3000000;3;4400000;0;Buruh
4975;Y;M;69;1200000;10;4600000;2;Pedagang
4976;N;M;25;500000;6;2300000;1;Buruh
4977;N;M;61;1000000;20;2000000;1;Pedagang
4978;N;M;72;2000000;4;4500000;0;Guru/Dosen
4979;N;F;89;2000000;12;1500000;5;Wirausaha
4980;Y;M;61;1500000;12;4000000;0;Guru/Dosen
4981;N;F;61;1400000;5;2300000;4;Guru/Dosen
4982;Y;M;27;1200000;6;4500000;0;Pedagang
4983;N;M;96;1600000;16;1200000;0;Guru/Dosen
4984;Y;M;39;500000;12;4500000;2;Wirausaha
4985;N;M;30;500000;4;4400000;4;Buruh
4986;Y;M;74;1600000;6;3000000;1;Pekerja Lepas
4987;Y;F;77;3000000;12;3500000;0;Wirausaha
4988;Y;F;53;1200000;4;4500000;3;Wirausaha
4989;N;F;82;1500000;12;4000000;5;Guru/Dosen
4990;N;M;44;2500000;8;4800000;3;Guru/Dosen
4991;Y;M;100;2000000;12;4800000;0;Pedagang
4992;N;M;27;1500000;5;2000000;1;Pedagang
4993;N;F;66;1400000;5;3500000;5;Buruh
4994;N;F;20;1500000;6;1800000;5;Pekerja Lepas
4995;N;M;76;2000000;20;1200000;5;Buruh
4996;N;M;95;1000000;6;1500000;4;Guru/Dosen
4997;Y;F;52;1800000;4;3500000;4;Wirausaha
4998;Y;M;63;1800000;4;2500000;0;Pedagang
4999;Y;M;89;500000;3;3000000;2;Wirausaha
5000;N;F;90;1400000;10;5000000;4;Buruh
5001;N;F;72;500000;20;1500000;3;Pekerja Lepas
5002;N;M;65;1500000;16;2500000;4;Guru/Dosen
5003;N;M;33;500000;5;2000000;4;Guru/Dosen
5004;Y;M;35;500000;10;3000000;3;Wirausaha
5005;N;M;28;700000;5;4000000;5;Guru/Dosen
5006;Y;M;61;1500000;12;3000000;5;Pekerja Lepas
5007;N;M;68;1400000;20;1800000;4;Pedagang
5008;N;M;29;1600000;4;1800000;0;Pekerja Lepas
5009;N;M;39;500000;10;1500000;5;Pedagang
5010;Y;M;54;1900000;8;2300000;4;Wirausaha
5011;Y;M;97;1200000;5;5000000;2;Wirausaha
5012;Y;M;100;1500000;10;5000000;5;Pedagang
5013;N;F;56;1600000;10;5000000;3;Guru/Dosen
5014;Y;M;58;1200000;4;4500000;1;Pedagang
5015;Y;F;59;3000000;8;5000000;2;Pedagang
5016;N;F;39;1000000;8;2000000;3;Guru/Dosen
5017;N;M;32;1500000;6;4400000;2;Buruh
5018;N;F;44;1400000;16;4400000;2;Buruh
