;approval;gender;usia;pinjaman;tenor;pemasukan;tanggungan;pekerjaan;donasi
5057;Y;F;31;500000;20;2300000;0;Pekerja Lepas;1
5058;N;F;53;1400000;20;4600000;4;Guru/Dosen;4
5059;Y;F;71;1200000;20;2300000;5;Pedagang;5
5060;Y;M;58;1900000;12;2500000;1;Pedagang;3
5061;Y;F;25;1200000;10;4400000;1;Pedagang;1
5062;N;M;31;1500000;16;4600000;5;Guru/Dosen;2
5063;Y;M;56;1200000;8;2500000;1;Pedagang;6
5064;Y;F;90;1200000;6;5000000;5;Wirausaha;7
5065;N;M;80;700000;4;1800000;2;Pedagang;1
5066;N;M;65;1500000;3;1500000;1;Wirausaha;2
5067;N;M;68;1800000;20;4800000;0;Guru/Dosen;3
5068;Y;F;54;1900000;10;5000000;2;Pedagang;0
5069;N;M;58;1200000;20;1200000;0;Guru/Dosen;3
5070;Y;M;63;2000000;4;2500000;3;Wirausaha;1
5071;N;F;78;500000;12;1500000;1;Guru/Dosen;3
5072;Y;M;35;1200000;6;4400000;4;Pedagang;6
5073;N;F;66;1400000;16;2000000;2;Buruh;8
5074;N;M;85;1500000;8;1200000;4;Buruh;6
5075;N;M;88;1600000;12;4400000;1;Guru/Dosen;7
5076;Y;F;24;1900000;3;2300000;4;Pedagang;1
5077;Y;M;39;1800000;4;4400000;2;Wirausaha;4
5078;Y;M;49;3000000;20;4000000;0;Pedagang;0
5079;Y;M;63;1200000;5;4600000;4;Buruh;7
5080;Y;F;86;1200000;4;4800000;1;Pekerja Lepas;3
5081;Y;M;32;1800000;12;4800000;0;Pedagang;1
5082;N;F;81;700000;12;2000000;0;Buruh;0
5083;N;F;98;500000;10;4800000;5;Buruh;4
5084;Y;M;57;1200000;6;4000000;0;Guru/Dosen;2
5085;N;M;90;700000;16;4800000;5;Guru/Dosen;0
5086;N;M;35;1200000;16;2000000;5;Wirausaha;0
5087;N;F;21;1000000;4;1200000;1;Pekerja Lepas;5
5088;Y;F;33;1500000;4;4000000;1;Guru/Dosen;5
5089;Y;M;21;2500000;12;4000000;4;Wirausaha;4
5090;Y;M;48;1400000;5;5000000;5;Pedagang;4
5091;N;M;43;700000;3;2000000;4;Wirausaha;4
5092;N;M;58;1200000;10;1200000;3;Wirausaha;0
5093;Y;F;69;1200000;12;5000000;3;Pedagang;8
5094;N;M;60;2000000;16;2500000;1;Buruh;4
5095;Y;F;90;1900000;4;4000000;2;Pedagang;2
5096;Y;M;42;700000;20;4000000;0;Buruh;3
5097;N;M;60;2500000;6;1500000;1;Pedagang;3
5098;Y;M;74;3000000;20;3500000;3;Pedagang;6
5099;N;F;44;1900000;4;1800000;4;Guru/Dosen;1
5100;Y;M;56;2000000;20;4600000;1;Pedagang;2
5101;Y;F;58;1800000;20;3000000;2;Pedagang;5
5102;Y;F;74;1900000;10;3000000;2;Wirausaha;0
5103;N;M;64;1500000;8;2300000;0;Guru/Dosen;2
5104;N;M;24;2500000;16;3500000;3;Buruh;0
5105;N;M;43;500000;16;4600000;2;Buruh;2
5106;N;M;96;3000000;12;1200000;5;Buruh;1
5107;Y;M;35;1200000;6;3500000;2;Wirausaha;6
5108;Y;M;56;1200000;10;5000000;5;Wirausaha;1
5109;Y;M;25;2500000;5;4000000;5;Pedagang;4
5110;N;M;38;1200000;12;2000000;2;Buruh;6
5111;N;M;65;700000;12;1200000;5;Pekerja Lepas;8
5112;Y;F;66;1800000;20;4000000;1;Pekerja Lepas;4
5113;Y;F;31;2000000;4;4600000;5;Guru/Dosen;6
5114;Y;M;71;1200000;12;2300000;4;Pedagang;1
5115;Y;M;35;700000;5;3500000;0;Pekerja Lepas;4
5116;Y;F;95;1500000;20;4400000;0;Wirausaha;4
5117;Y;M;38;1200000;16;4600000;0;Pekerja Lepas;6
5118;N;F;92;1000000;4;2000000;3;Wirausaha;6
5119;Y;M;66;3000000;10;4400000;3;Pedagang;6
5120;Y;M;58;700000;4;4800000;2;Pedagang;6
5121;N;M;42;500000;20;1800000;1;Pedagang;1
5122;N;F;78;500000;5;2000000;3;Buruh;0
5123;N;M;24;1900000;16;1200000;3;Wirausaha;5
5124;N;M;21;1600000;4;1200000;4;Buruh;5
5125;Y;M;24;1800000;8;4400000;1;Guru/Dosen;8
5126;N;F;95;1800000;20;1800000;3;Wirausaha;2
5127;N;F;98;1000000;4;1200000;4;Guru/Dosen;0
5128;N;M;69;1200000;6;1800000;0;Guru/Dosen;0
5129;Y;F;91;3000000;4;3500000;0;Pekerja Lepas;7
5130;N;M;72;3000000;12;4000000;4;Guru/Dosen;4
5131;Y;M;55;2500000;4;4400000;2;Wirausaha;1
5132;N;M;70;1500000;12;2300000;4;Guru/Dosen;1
5133;N;M;57;3000000;12;1200000;2;Guru/Dosen;1
5134;Y;F;66;1200000;10;3000000;4;Pekerja Lepas;6
5135;Y;F;97;2500000;20;4400000;0;Pedagang;0
5136;N;F;73;1900000;8;1800000;0;Pedagang;1
5137;N;M;57;3000000;16;1800000;5;Buruh;0
5138;Y;F;52;1400000;16;4500000;5;Pedagang;1
5139;Y;F;55;3000000;4;4800000;0;Pedagang;0
5140;N;M;72;1800000;16;4800000;3;Guru/Dosen;1
5141;N;F;45;1600000;3;4000000;2;Guru/Dosen;0
5142;N;F;41;2500000;16;4800000;5;Buruh;2
5143;N;F;47;1400000;3;1200000;2;Wirausaha;0
5144;N;F;24;3000000;12;3000000;3;Buruh;1
5145;N;F;28;1600000;3;1800000;5;Buruh;1
5146;Y;M;55;500000;8;4400000;0;Guru/Dosen;2
5147;Y;M;60;2000000;5;3500000;3;Wirausaha;1
5148;Y;M;99;700000;4;4400000;5;Pedagang;1
5149;N;M;98;500000;10;3000000;5;Buruh;6
5150;N;M;50;1500000;16;4000000;3;Buruh;0
5151;N;M;81;1200000;12;2000000;0;Pedagang;1
5152;N;F;68;500000;4;4500000;1;Buruh;2
5153;N;F;65;1600000;10;1200000;3;Guru/Dosen;6
5154;N;M;68;1400000;6;1800000;1;Buruh;0
5155;N;F;88;500000;5;4500000;0;Guru/Dosen;2
5156;Y;M;45;1900000;8;4000000;3;Wirausaha;1
5157;N;F;41;1600000;4;3000000;2;Buruh;2
5158;Y;M;56;2000000;8;4400000;0;Wirausaha;1
5159;N;M;79;1400000;10;1500000;4;Pekerja Lepas;0
5160;Y;M;63;1900000;4;2500000;3;Pekerja Lepas;7
5161;Y;F;95;700000;10;2300000;4;Pedagang;1
5162;N;M;79;1900000;20;1500000;5;Wirausaha;1
5163;N;M;81;1600000;10;1500000;1;Pekerja Lepas;6
5164;N;M;34;1600000;20;1500000;2;Buruh;4
5165;Y;M;40;1900000;12;5000000;1;Pekerja Lepas;6
5166;N;M;37;1200000;10;1500000;4;Pedagang;3
5167;Y;F;65;2000000;12;3500000;2;Pedagang;0
5168;Y;F;61;3000000;4;4000000;2;Pedagang;0
5169;Y;M;48;1600000;5;2500000;0;Pekerja Lepas;3
5170;Y;M;60;500000;10;4400000;4;Pedagang;4
5171;N;F;26;1200000;3;2000000;0;Wirausaha;2
5172;N;M;36;1200000;4;5000000;4;Guru/Dosen;3
5173;Y;M;34;2000000;10;2300000;1;Pedagang;6
5174;Y;M;30;500000;12;4000000;1;Wirausaha;4
5175;Y;M;67;2000000;4;2500000;4;Wirausaha;3
5176;Y;M;23;1400000;6;2300000;2;Wirausaha;1
5177;Y;F;54;700000;4;4500000;4;Wirausaha;8
5178;Y;F;47;1200000;4;4000000;4;Pedagang;6
5179;Y;M;28;500000;6;3500000;5;Buruh;7
5180;N;M;69;1500000;10;1500000;1;Pedagang;7
5181;N;M;42;1600000;6;1800000;2;Pedagang;3
5182;Y;M;53;1800000;16;2300000;4;Pedagang;0
5183;Y;M;37;1900000;8;4000000;3;Pekerja Lepas;0
5184;Y;M;27;1000000;10;5000000;4;Pedagang;0
5185;N;M;21;1800000;10;4500000;2;Buruh;0
5186;N;M;83;1600000;4;1800000;5;Guru/Dosen;0
5187;N;F;22;1000000;3;1500000;1;Guru/Dosen;8
5188;Y;M;66;500000;12;5000000;5;Pedagang;7
5189;Y;M;38;500000;10;4800000;1;Guru/Dosen;4
5190;Y;M;51;500000;16;3000000;4;Pedagang;1
5191;N;M;82;3000000;4;2500000;1;Guru/Dosen;6
5192;N;F;59;1000000;8;2000000;0;Pedagang;0
5193;Y;M;77;1400000;10;4800000;5;Wirausaha;3
5194;N;F;86;700000;20;4400000;3;Buruh;4
5195;Y;F;89;700000;4;4000000;0;Pedagang;6
5196;Y;M;93;1800000;4;3000000;2;Pedagang;6
5197;N;M;69;1500000;16;2000000;1;Buruh;6
5198;N;F;39;3000000;12;1800000;1;Pekerja Lepas;2
5199;N;M;60;1200000;4;1200000;5;Wirausaha;6
5200;N;M;74;1000000;4;4400000;5;Buruh;3
5201;Y;F;36;500000;16;2300000;4;Wirausaha;3
5202;Y;M;96;1800000;3;2300000;4;Pekerja Lepas;0
5203;Y;M;39;3000000;4;4400000;2;Pedagang;1
5204;Y;F;71;1200000;3;2300000;5;Pekerja Lepas;6
5205;N;M;79;2000000;5;3500000;1;Guru/Dosen;1
5206;N;F;70;1800000;10;1800000;3;Pedagang;6
5207;Y;M;64;1200000;10;2300000;4;Pekerja Lepas;6
5208;N;M;49;700000;3;2000000;5;Buruh;7
5209;Y;M;75;2500000;20;2500000;4;Pedagang;1
5210;N;M;54;1200000;6;4400000;5;Buruh;2
5211;N;F;84;1500000;8;1200000;2;Buruh;1
5212;Y;F;64;1800000;12;4800000;3;Pekerja Lepas;1
5213;Y;M;51;2000000;10;3000000;4;Wirausaha;0
5214;N;F;95;1600000;8;2000000;3;Pedagang;1
5215;N;M;72;1200000;20;4500000;3;Buruh;4
5216;N;M;21;500000;4;4500000;1;Guru/Dosen;0
5217;N;F;78;2000000;4;1500000;1;Wirausaha;0
5218;N;F;98;500000;8;1800000;0;Pekerja Lepas;5
5219;N;F;89;2000000;3;1200000;1;Pekerja Lepas;4
5220;N;F;31;1500000;16;3500000;2;Guru/Dosen;1
5221;Y;F;42;700000;12;4600000;0;Pedagang;5
5222;N;M;88;3000000;20;1500000;1;Pekerja Lepas;0
5223;Y;M;95;1200000;4;3500000;3;Wirausaha;2
5224;N;M;95;1900000;6;2300000;3;Buruh;5
5225;N;M;72;1900000;5;2000000;2;Pedagang;1
5226;N;M;88;1000000;16;1200000;1;Buruh;4
5227;N;M;82;1200000;3;1800000;5;Pedagang;6
5228;N;M;84;1900000;8;2300000;1;Guru/Dosen;6
5229;N;F;25;1200000;16;1200000;3;Buruh;0
5230;N;M;86;1500000;10;3000000;3;Buruh;0
5231;Y;F;40;500000;5;3000000;3;Pedagang;3
5232;N;F;90;3000000;5;1500000;1;Buruh;2
5233;Y;M;36;1200000;5;3500000;4;Pekerja Lepas;4
5234;N;M;66;1200000;5;1200000;4;Wirausaha;3
5235;N;M;36;1800000;10;3000000;3;Guru/Dosen;4
5236;N;M;63;500000;10;2000000;3;Pekerja Lepas;3
5237;Y;M;28;3000000;10;2500000;0;Pekerja Lepas;1
5238;Y;F;48;1200000;8;4400000;0;Wirausaha;1
5239;Y;M;94;1500000;3;4500000;3;Pedagang;1
5240;N;F;93;2000000;10;2000000;5;Pedagang;8
5241;N;M;84;2000000;12;1500000;0;Wirausaha;0
5242;Y;F;58;1000000;8;4500000;4;Pedagang;1
5243;Y;M;62;500000;5;4000000;5;Guru/Dosen;6
5244;Y;M;55;3000000;20;4400000;2;Pekerja Lepas;4
5245;Y;M;56;500000;12;5000000;0;Pedagang;5
5246;N;F;56;1500000;6;4800000;3;Guru/Dosen;2
5247;Y;F;99;500000;6;4000000;1;Pedagang;3
5248;N;M;44;500000;12;5000000;5;Guru/Dosen;5
5249;Y;F;54;2000000;20;4600000;2;Buruh;3
5250;Y;M;22;1200000;12;4800000;3;Pedagang;7
5251;N;M;83;1500000;12;1800000;5;Wirausaha;1
5252;Y;F;73;1200000;10;4500000;1;Pekerja Lepas;7
5253;Y;M;62;2000000;20;4600000;4;Guru/Dosen;8
5254;N;F;31;3000000;12;4400000;5;Buruh;4
5255;Y;M;53;1200000;16;2500000;0;Pekerja Lepas;4
5256;N;M;85;2500000;6;2000000;4;Pedagang;1
5257;Y;M;48;1900000;5;4500000;0;Wirausaha;0
5258;Y;M;33;1600000;6;4600000;4;Wirausaha;6
5259;Y;M;77;700000;6;3500000;4;Pedagang;6
5260;Y;M;36;1200000;4;2500000;3;Pedagang;1
5261;N;F;23;1000000;12;1200000;5;Pedagang;6
5262;N;M;66;1400000;5;1500000;4;Guru/Dosen;0
5263;N;F;66;500000;10;2500000;5;Buruh;6
5264;N;M;63;1200000;3;1200000;4;Pekerja Lepas;2
5265;Y;M;72;1200000;4;2500000;1;Pedagang;4
5266;N;M;78;1600000;6;1500000;1;Pedagang;8
5267;Y;F;31;700000;10;5000000;2;Pekerja Lepas;4
5268;Y;M;94;1900000;12;2300000;1;Pedagang;4
5269;Y;F;27;1400000;20;4600000;0;Pekerja Lepas;7
5270;N;F;50;700000;12;1500000;4;Wirausaha;7
5271;Y;M;39;2500000;12;3500000;0;Buruh;4
5272;Y;F;71;1500000;10;3500000;2;Pedagang;2
5273;N;M;89;700000;12;1500000;5;Pekerja Lepas;0
5274;N;M;47;1800000;20;2000000;4;Buruh;6
5275;Y;M;58;1800000;4;2500000;0;Pedagang;5
5276;Y;F;98;1900000;12;4600000;4;Wirausaha;0
5277;N;M;58;1800000;20;1200000;5;Buruh;8
5278;Y;F;34;1600000;8;3500000;0;Pedagang;1
5279;N;F;67;1400000;4;4000000;1;Buruh;4
5280;N;F;40;3000000;20;1500000;5;Buruh;5
5281;N;M;45;3000000;20;4800000;5;Buruh;0
5282;Y;F;84;1900000;20;2300000;0;Pedagang;3
5283;Y;F;35;500000;8;4400000;3;Wirausaha;3
5284;Y;M;67;1600000;6;3500000;4;Pedagang;7
5285;Y;M;63;2500000;6;4400000;2;Pedagang;2
5286;Y;F;76;1200000;10;2300000;0;Pedagang;3
5287;Y;F;69;1200000;3;4600000;5;Pekerja Lepas;1
5288;Y;M;39;1800000;12;3500000;1;Pekerja Lepas;7
5289;Y;M;92;1900000;10;4600000;1;Pedagang;0
5290;Y;M;49;1900000;8;4800000;5;Wirausaha;4
5291;Y;M;62;1200000;10;4000000;5;Pedagang;4
5292;Y;M;88;2500000;5;5000000;2;Pedagang;7
5293;N;M;71;1200000;6;2500000;0;Buruh;8
5294;Y;F;77;1900000;6;5000000;1;Pekerja Lepas;1
5295;Y;M;20;1600000;5;4500000;1;Wirausaha;6
5296;Y;M;99;1500000;6;4500000;5;Pekerja Lepas;7
5297;Y;M;51;1600000;10;4800000;2;Pekerja Lepas;7
5298;N;F;85;1000000;3;4600000;1;Buruh;7
5299;N;M;100;2500000;4;4500000;2;Guru/Dosen;6
5300;N;F;46;1500000;5;4500000;2;Guru/Dosen;1
5301;Y;M;27;1800000;16;3500000;4;Guru/Dosen;8
5302;N;F;42;1500000;4;1200000;3;Pedagang;0
5303;N;M;83;1400000;3;1200000;0;Pekerja Lepas;5
5304;N;M;98;1500000;4;2000000;2;Pedagang;2
5305;Y;F;35;2500000;10;4400000;2;Pedagang;6
5306;N;F;85;1600000;6;4800000;3;Guru/Dosen;6
5307;Y;F;50;1200000;4;4400000;1;Pedagang;0
5308;Y;M;78;500000;16;3000000;5;Pekerja Lepas;6
5309;N;M;68;500000;5;4400000;4;Guru/Dosen;1
5310;N;M;57;500000;12;3500000;3;Buruh;2
5311;N;F;48;700000;4;2500000;4;Buruh;1
5312;N;M;94;1400000;5;4800000;2;Buruh;5
5313;Y;M;25;1200000;8;2500000;2;Pedagang;1
5314;Y;M;34;1200000;12;4000000;4;Pekerja Lepas;3
5315;Y;M;90;500000;5;3500000;0;Pekerja Lepas;6
5316;N;M;82;1200000;16;1800000;4;Guru/Dosen;1
5317;N;F;82;500000;4;2500000;3;Buruh;2
5318;Y;M;20;500000;5;4500000;3;Pedagang;6
5319;Y;M;90;1500000;4;4400000;5;Pedagang;4
5320;Y;F;50;2000000;4;4600000;2;Pedagang;6
5321;Y;F;63;2000000;4;4800000;2;Wirausaha;6
5322;N;M;52;1400000;12;1200000;2;Wirausaha;7
5323;N;F;42;3000000;5;1500000;1;Wirausaha;3
5324;Y;M;52;1900000;10;5000000;0;Pedagang;6
5325;N;M;91;1800000;16;5000000;4;Buruh;6
5326;Y;M;71;500000;10;4000000;4;Wirausaha;2
5327;N;M;69;1400000;4;2300000;3;Guru/Dosen;1
5328;Y;F;66;1600000;5;4000000;3;Pedagang;0
5329;Y;M;34;500000;8;4600000;1;Buruh;0
5330;N;M;79;3000000;4;1200000;5;Pedagang;0
5331;Y;F;48;1400000;5;4400000;3;Pedagang;5
5332;N;M;61;1800000;10;1800000;3;Pekerja Lepas;0
5333;N;M;94;500000;3;4500000;3;Guru/Dosen;6
5334;Y;F;24;500000;4;2500000;0;Pekerja Lepas;3
5335;Y;F;93;1900000;20;4000000;4;Pekerja Lepas;8
5336;Y;M;40;1400000;10;4500000;3;Pedagang;1
5337;N;M;41;1200000;3;5000000;4;Guru/Dosen;3
5338;N;M;66;500000;3;1500000;2;Pedagang;1
5339;N;M;54;2000000;5;1500000;0;Pekerja Lepas;3
5340;Y;M;28;500000;4;4500000;0;Pedagang;5
5341;Y;F;73;500000;20;2300000;0;Pedagang;4
5342;Y;F;80;1200000;10;2300000;3;Pedagang;1
5343;N;F;77;1400000;16;1800000;0;Pedagang;0
5344;N;M;97;3000000;10;2000000;0;Pedagang;4
5345;Y;M;70;500000;12;4400000;0;Pedagang;1
5346;N;M;97;1600000;16;2500000;5;Buruh;2
5347;N;M;78;2000000;4;2000000;0;Wirausaha;0
5348;Y;F;81;1900000;4;4800000;0;Pedagang;0
5349;N;M;94;1200000;12;1800000;1;Wirausaha;0
5350;Y;F;43;1200000;20;4000000;0;Buruh;0
5351;Y;F;50;2500000;20;4800000;4;Pedagang;0
5352;N;M;30;500000;3;1800000;3;Pekerja Lepas;8
5353;Y;M;20;1200000;10;4000000;5;Pedagang;5
5354;Y;M;41;1200000;4;3500000;0;Guru/Dosen;5
5355;Y;F;42;1900000;10;4500000;0;Pedagang;1
5356;N;M;42;1900000;10;1800000;1;Pedagang;0
5357;Y;M;41;1200000;4;4000000;1;Pedagang;2
5358;N;M;72;1500000;6;4800000;4;Buruh;6
5359;N;F;36;1000000;4;1800000;2;Buruh;4
5360;N;M;93;700000;10;1200000;2;Pedagang;1
5361;Y;M;49;1800000;8;4000000;4;Pedagang;0
5362;N;M;47;500000;3;4500000;1;Guru/Dosen;0
5363;Y;M;62;700000;4;3000000;1;Pedagang;8
5364;N;M;61;1400000;10;1200000;3;Guru/Dosen;6
5365;Y;M;68;2500000;6;4600000;3;Wirausaha;4
5366;N;M;81;1200000;10;1500000;2;Pedagang;3
5367;N;F;22;1900000;10;1500000;0;Wirausaha;0
5368;N;F;28;1200000;4;1800000;2;Pekerja Lepas;5
5369;Y;F;100;500000;8;4000000;0;Wirausaha;0
5370;Y;F;37;500000;6;3500000;4;Pekerja Lepas;6
5371;N;M;72;1800000;16;4800000;4;Guru/Dosen;0
5372;Y;M;60;1000000;4;3500000;1;Pedagang;6
5373;N;F;54;500000;4;1200000;3;Pedagang;3
5374;Y;M;90;1500000;6;4600000;1;Pedagang;1
5375;N;M;63;2000000;12;1200000;5;Pedagang;4
5376;Y;F;100;500000;10;4400000;5;Pedagang;0
5377;Y;F;49;1800000;4;2500000;3;Pedagang;3
5378;N;F;71;1200000;3;2000000;2;Pedagang;4
5379;N;M;84;1200000;16;2000000;1;Guru/Dosen;1
5380;Y;M;50;1500000;6;2500000;1;Wirausaha;6
5381;N;M;46;2500000;3;2000000;3;Wirausaha;5
5382;Y;F;33;1200000;12;4600000;2;Pedagang;6
5383;Y;M;96;1800000;4;4400000;3;Pedagang;3
5384;Y;F;42;1900000;4;5000000;5;Pedagang;3
5385;Y;M;61;1200000;16;4000000;5;Pedagang;5
5386;Y;M;90;2500000;3;4500000;0;Pedagang;5
5387;Y;M;100;1500000;16;3500000;4;Pekerja Lepas;6
5388;Y;M;24;2500000;3;3000000;0;Pedagang;2
5389;Y;M;80;1600000;20;4000000;1;Pedagang;1
5390;Y;M;54;1400000;12;4500000;5;Guru/Dosen;8
5391;N;M;38;1900000;3;2000000;0;Pedagang;7
5392;Y;M;28;500000;12;2300000;2;Pekerja Lepas;5
5393;N;F;50;500000;20;1500000;4;Guru/Dosen;2
5394;Y;F;99;1800000;6;4800000;5;Pedagang;1
5395;N;M;84;500000;5;3500000;0;Buruh;3
5396;N;M;55;500000;20;4000000;4;Guru/Dosen;3
5397;N;M;98;700000;3;2300000;3;Guru/Dosen;8
5398;N;M;95;500000;4;4500000;4;Buruh;1
5399;Y;M;77;1000000;20;5000000;0;Wirausaha;1
5400;N;M;92;1900000;12;4400000;4;Guru/Dosen;0
5401;Y;F;58;1200000;4;4400000;4;Pedagang;0
5402;N;M;72;2500000;4;2000000;0;Buruh;7
5403;N;M;67;1200000;3;4000000;0;Guru/Dosen;6
5404;N;M;87;500000;4;5000000;1;Guru/Dosen;1
5405;N;M;72;1200000;3;4000000;0;Guru/Dosen;1
5406;Y;M;100;3000000;4;4400000;5;Wirausaha;4
5407;N;F;78;1900000;10;1200000;0;Buruh;6
5408;Y;M;29;1800000;10;4500000;1;Pedagang;0
5409;Y;M;65;700000;8;2500000;3;Pedagang;8
5410;Y;M;57;500000;3;5000000;5;Pedagang;6
5411;N;M;42;1800000;3;1500000;5;Guru/Dosen;6
5412;Y;M;25;2000000;4;4400000;0;Guru/Dosen;1
5413;Y;M;36;500000;3;2500000;5;Pedagang;0
5414;N;M;69;2500000;20;1200000;0;Buruh;8
5415;N;M;54;1600000;10;1800000;3;Buruh;5
5416;N;F;91;500000;10;2000000;3;Pedagang;7
5417;N;M;87;1800000;3;5000000;4;Guru/Dosen;1
5418;N;M;23;1200000;5;1800000;3;Guru/Dosen;5
5419;N;F;75;500000;10;1800000;0;Pedagang;1
5420;Y;M;78;1800000;5;4500000;1;Wirausaha;6
5421;N;M;70;1500000;20;2000000;3;Guru/Dosen;1
5422;N;M;57;2500000;10;4500000;5;Guru/Dosen;0
5423;Y;M;56;700000;12;3500000;2;Guru/Dosen;8
5424;N;M;67;1200000;5;2500000;0;Buruh;4
5425;N;F;32;1200000;16;1500000;5;Pedagang;3
5426;N;F;39;1200000;20;1200000;4;Buruh;6
5427;Y;M;66;500000;8;3500000;3;Wirausaha;0
5428;Y;F;48;1200000;10;3000000;1;Wirausaha;1
5429;N;M;27;2500000;3;1800000;4;Wirausaha;3
5430;N;F;80;500000;10;5000000;5;Buruh;5
5431;N;M;39;2500000;4;2000000;3;Wirausaha;5
5432;Y;F;97;1200000;4;5000000;5;Pedagang;1
5433;N;M;79;2500000;10;4000000;4;Guru/Dosen;5
5434;N;F;86;2500000;12;4500000;1;Buruh;5
5435;N;M;70;1600000;4;1200000;0;Buruh;1
5436;Y;M;22;3000000;5;4800000;3;Pedagang;5
5437;N;M;86;500000;20;4400000;5;Guru/Dosen;3
5438;Y;F;61;2000000;12;5000000;4;Pekerja Lepas;0
5439;N;F;25;1800000;4;1800000;4;Wirausaha;3
5440;N;F;85;500000;12;1200000;2;Wirausaha;5
5441;Y;M;80;1800000;3;4400000;5;Pedagang;1
5442;Y;M;66;3000000;10;4600000;0;Pedagang;3
5443;Y;M;93;2500000;4;4800000;2;Wirausaha;8
5444;Y;F;96;1500000;5;2300000;4;Wirausaha;1
5445;N;M;89;1800000;12;1800000;4;Guru/Dosen;6
5446;Y;M;42;1200000;4;3000000;3;Guru/Dosen;8
5447;N;F;24;500000;5;1800000;2;Buruh;8
5448;Y;F;80;2000000;10;4800000;5;Wirausaha;6
5449;Y;M;20;1900000;4;4600000;0;Pedagang;0
5450;N;M;64;1200000;10;2500000;3;Buruh;1
5451;Y;M;91;2500000;10;2500000;3;Wirausaha;6
5452;Y;M;86;1200000;3;3000000;2;Pekerja Lepas;2
5453;Y;F;93;1200000;3;4000000;5;Wirausaha;6
5454;N;F;64;1200000;10;4400000;1;Buruh;1
5455;N;F;55;1900000;12;4600000;4;Buruh;5
5456;Y;M;44;700000;12;4500000;2;Pekerja Lepas;5
5457;Y;M;89;1200000;20;2300000;3;Pekerja Lepas;6
5458;Y;M;73;1400000;3;3000000;5;Pekerja Lepas;2
5459;Y;F;84;700000;8;4400000;1;Pedagang;6
5460;N;M;73;1000000;6;1500000;0;Pekerja Lepas;0
5461;N;F;93;500000;3;1200000;1;Wirausaha;0
5462;N;M;56;700000;12;2000000;3;Pedagang;7
5463;Y;M;61;500000;4;4000000;1;Pedagang;1
5464;Y;F;71;2500000;20;3000000;4;Pedagang;1
5465;N;F;68;1400000;4;1500000;3;Buruh;3
5466;Y;F;92;500000;12;5000000;3;Pekerja Lepas;1
5467;N;M;43;2500000;6;1500000;1;Pedagang;4
5468;Y;M;36;2500000;10;3000000;2;Guru/Dosen;8
5469;Y;F;22;2500000;20;4500000;1;Pedagang;6
5470;N;M;57;2500000;6;5000000;5;Buruh;4
5471;N;M;45;1400000;3;4500000;5;Buruh;1
5472;Y;M;54;3000000;4;3000000;3;Wirausaha;4
5473;Y;M;27;1400000;20;5000000;0;Pedagang;1
5474;N;M;91;2500000;4;4800000;2;Guru/Dosen;7
5475;Y;M;69;1900000;4;5000000;2;Pedagang;7
5476;Y;F;56;500000;12;3500000;1;Guru/Dosen;3
5477;N;M;47;1500000;5;1200000;5;Pedagang;1
5478;N;M;44;2000000;10;4800000;3;Buruh;3
5479;N;M;40;1400000;5;1200000;0;Wirausaha;3
5480;Y;M;30;1900000;6;3000000;5;Pedagang;0
5481;Y;F;27;2500000;10;4400000;4;Buruh;8
5482;N;M;52;1200000;3;2500000;1;Buruh;0
5483;N;M;62;1500000;12;2000000;1;Pedagang;1
5484;N;F;45;1800000;12;1800000;0;Guru/Dosen;1
5485;Y;M;55;1900000;10;4000000;3;Pedagang;8
5486;N;F;100;500000;20;5000000;4;Guru/Dosen;0
5487;Y;M;27;2000000;12;4000000;4;Pedagang;0
5488;Y;M;76;1200000;6;4600000;1;Pedagang;1
5489;N;M;40;500000;4;1200000;4;Wirausaha;1
5490;Y;F;26;1200000;8;2500000;1;Pedagang;2
5491;N;M;30;2000000;3;1200000;5;Wirausaha;5
5492;Y;M;26;2500000;6;3000000;0;Buruh;8
5493;Y;F;87;2000000;20;2300000;0;Pedagang;6
5494;N;M;96;1600000;8;2000000;0;Wirausaha;1
5495;N;M;90;1500000;4;2300000;2;Buruh;6
5496;Y;F;29;2000000;3;3000000;4;Pekerja Lepas;6
5497;Y;M;42;2500000;8;2300000;2;Pekerja Lepas;3
5498;N;F;36;1200000;6;1500000;3;Pedagang;1
5499;N;M;46;1200000;12;3500000;2;Guru/Dosen;0
5500;N;M;48;1200000;16;2300000;0;Buruh;3
5501;Y;F;39;2000000;16;3000000;5;Wirausaha;2
5502;Y;M;79;1000000;16;3000000;2;Pekerja Lepas;6
5503;Y;M;93;1900000;4;4800000;1;Pedagang;1
5504;Y;M;40;500000;10;4800000;4;Pedagang;6
5505;Y;M;79;1000000;10;3000000;3;Pekerja Lepas;0
5506;Y;F;22;1800000;16;4000000;5;Pedagang;5
5507;N;M;35;1000000;5;1200000;4;Guru/Dosen;1
5508;N;M;66;1800000;4;1800000;5;Guru/Dosen;1
5509;N;M;52;1800000;12;2000000;4;Buruh;6
5510;Y;M;45;500000;16;2500000;5;Buruh;6
5511;Y;M;66;2500000;4;4500000;2;Pedagang;6
5512;N;M;36;700000;4;4000000;2;Guru/Dosen;0
5513;N;F;87;1000000;10;1200000;5;Pedagang;1
5514;N;M;72;1800000;12;1200000;2;Pedagang;6
5515;N;F;25;2500000;6;1200000;3;Buruh;3
5516;Y;M;78;3000000;10;4400000;3;Pedagang;2
